mesh,edge_mesh_length,sharp_feature,bbox_diag,norm_min,norm_max,norm_mean,norm_rms
lever_arm_remesh,1215.892487,sharp,164.512559,0.0,0.013945,0.001074,0.002147
lilium_3,2207.791109,smooth,425.109835,0.0,0.012234,0.001747,0.002774
lock_Lp_remesh,3024.275468,sharp,119.794954,0.0,0.012075,0.000346,0.000875
manta,1807.33036,smooth,400.447674,0.0,0.007159,0.001368,0.002128
mech09_remesh,1176.492886,sharp,61.692024,0.0,0.006114,0.000389,0.000863
mech10_remesh,232.773207,sharp,17.258648,0.0,0.005157,0.000484,0.000843
mech_piece_remesh,557.294832,sharp,34.04298,0.0,0.00893,0.000406,0.000872
mechanical06_remesh,7193.7762,sharp,456.508488,0.0,0.011043,0.000905,0.001985
mechanical08_remesh,88.354003,sharp,3.676708,0.0,0.00244,0.000343,0.000509
metro,3738.954085,smooth,659.981611,0.0,0.011833,0.002208,0.00334
mid2Fem_remesh,3452.297776,sharp,150.53757,0.0,0.008583,0.000289,0.000817
mouse_remesh,17.927142,sharp,0.999642,0.0,0.011012,0.000986,0.002047
mug_remesh_2,16.121476,sharp,0.992032,0.0,0.020118,0.001553,0.002821
part20k_remesh,72.369423,sharp,4.398071,0.0,0.016235,0.00043,0.001366
phone_remesh,9.016444,sharp,0.998342,0.0,0.014565,0.001758,0.003022
pig,4451.312679,smooth,358.835431,0.0,0.023022,0.002073,0.003677
pinion_remesh,51.224264,sharp,2.15419,0.0,0.006832,0.000412,0.000884
plane-sphere_remesh,12.326504,sharp,2.002193,0.0,0.00138,0.000145,0.000235
plate_4_remesh,1062.035723,sharp,122.576056,0.0,0.013023,0.000366,0.001082
rod_remesh,9.909976,sharp,0.99834,0.0,0.009626,0.001231,0.002154
sculpt_remesh,25.765754,sharp,1.730546,0.0,0.010825,0.000615,0.001428
sharp_sphere10k_remesh,1180.334885,sharp,36.08472,0.0,0.01869,0.000639,0.001534
shirt,8470.469565,smooth,992.626338,0.0,0.016773,0.002129,0.003544
six_s0,2130.901374,smooth,348.278004,0.0,0.009248,0.001103,0.001982
smooth-feature_remesh,33.351583,sharp,3.774917,0.0,0.005342,0.000394,0.000859
soumaya,3893.386453,smooth,422.998993,0.0,0.011634,0.001953,0.003039
spherecylinder_remesh,7.185957,sharp,0.997882,0.0,0.005322,0.000784,0.001211
spoon_remesh,464.740871,sharp,133.116323,0.0,0.00334,0.000537,0.000837
spring_remesh_2,12.089103,smooth,0.955297,0.0,0.019487,0.002867,0.004905
toothbrush_holder_remesh,4167.39731,sharp,165.099994,0.0,0.004952,0.000205,0.00061
toothpaste_remesh,10.69392,sharp,0.99877,0.0,0.01063,0.000849,0.001642
torus-filled_remesh,8.0489,smooth,0.996989,0.0,0.005177,0.000828,0.001235
torus-simple_remesh,7.508106,smooth,0.996047,0.0,0.015311,0.001698,0.00298
train_station,2629.922984,smooth,340.04659,0.0,0.019129,0.001829,0.003361
trebol_floe_rep_remesh,7.969411,smooth,0.999331,0.0,0.008389,0.000723,0.001317
trebol,3648.19509,smooth,455.191166,0.0,0.006552,0.000777,0.001205
twist,2035.393287,smooth,392.099238,0.0,0.013025,0.001571,0.002762
ujoint,684.091053,sharp,36.742346,0.0,0.010386,0.000644,0.001358
vase-lion,8695.709782,smooth,409.65942,0.0,0.019661,0.001651,0.003007
vase,2849.706815,smooth,412.133958,0.0,0.010937,0.001687,0.002614
wineglass_remesh,9.479966,sharp,0.999679,0.0,0.01398,0.002669,0.004021
wrench_remesh,704.760997,sharp,81.028141,0.0,0.00181,9.3e-05,0.000185
